Using device: cuda:0
{'checkpoint': 'roberta-base',
 'ds_path': 'glue',
 'ds_name': 'sst2',
 'num_labels': 2,
 'num_clients': 100,
 'clients_per_round': 10,
 'alpha': 1.0,
 'batch_size': 8,
 'local_epochs': 3,
 'max_epochs': -1,
 'total_rounds': 200,
 'fda': False,
 'theta': 0.0,
 'extras': '',
 'server_opt_name': 'SGD',
 'server_opt_lr': 1.0,
 'client_opt_name': 'SGD',
 'client_opt_lr': 0.001}

{'round': 23, 'accuracy': 0.9357798165137615, 'testing_loss': 0.19982881200234962, 'training_loss': 0.13644253219156807, 'variance': 0.08760902285575867, 'avg_norm_sq_drifts': 0.09836361557245255, 'norm_sq_avg_drift': 0.010754595510661602, 'round_steps': 264}
{'round': 24, 'accuracy': 0.9346330275229358, 'testing_loss': 0.1987517219711813, 'training_loss': 0.10715188598471947, 'variance': 0.07097947597503662, 'avg_norm_sq_drifts': 0.07948271930217743, 'norm_sq_avg_drift': 0.008503243327140808, 'round_steps': 264}
{'round': 25, 'accuracy': 0.9197247706422018, 'testing_loss': 0.24722643378147974, 'training_loss': 0.10479053730721884, 'variance': 0.06990157067775726, 'avg_norm_sq_drifts': 0.078556589782238, 'norm_sq_avg_drift': 0.008655017241835594, 'round_steps': 264}
{'round': 26, 'accuracy': 0.9139908256880734, 'testing_loss': 0.24375402843024274, 'training_loss': 0.13685991731505384, 'variance': 0.08552749454975128, 'avg_norm_sq_drifts': 0.09581545740365982, 'norm_sq_avg_drift': 0.01028795912861824, 'round_steps': 264}
{'round': 27, 'accuracy': 0.9346330275229358, 'testing_loss': 0.1961085095899094, 'training_loss': 0.16556894002997347, 'variance': 0.10020875185728073, 'avg_norm_sq_drifts': 0.11240509897470474, 'norm_sq_avg_drift': 0.012196348048746586, 'round_steps': 264}
{'round': 28, 'accuracy': 0.9013761467889908, 'testing_loss': 0.29504248813016837, 'training_loss': 0.10151063385368835, 'variance': 0.06497898697853088, 'avg_norm_sq_drifts': 0.07252108305692673, 'norm_sq_avg_drift': 0.007542092353105545, 'round_steps': 264}
{'round': 29, 'accuracy': 0.9357798165137615, 'testing_loss': 0.20295688866022463, 'training_loss': 0.09983034673310943, 'variance': 0.06680995970964432, 'avg_norm_sq_drifts': 0.0747888907790184, 'norm_sq_avg_drift': 0.00797892827540636, 'round_steps': 264}
{'round': 30, 'accuracy': 0.8899082568807339, 'testing_loss': 0.33646680656692374, 'training_loss': 0.13473427039127936, 'variance': 0.08873531222343445, 'avg_norm_sq_drifts': 0.09973171353340149, 'norm_sq_avg_drift': 0.01099640317261219, 'round_steps': 264}
{'round': 31, 'accuracy': 0.9013761467889908, 'testing_loss': 0.30201414896072737, 'training_loss': 0.09410708945881306, 'variance': 0.07014882564544678, 'avg_norm_sq_drifts': 0.07797963917255402, 'norm_sq_avg_drift': 0.007830817252397537, 'round_steps': 264}
{'round': 32, 'accuracy': 0.930045871559633, 'testing_loss': 0.2227692860691304, 'training_loss': 0.11566909094571284, 'variance': 0.07730792462825775, 'avg_norm_sq_drifts': 0.08658058196306229, 'norm_sq_avg_drift': 0.009272655472159386, 'round_steps': 264}
{'round': 33, 'accuracy': 0.9311926605504587, 'testing_loss': 0.21597132850395634, 'training_loss': 0.10741907068573216, 'variance': 0.08356644213199615, 'avg_norm_sq_drifts': 0.09319882839918137, 'norm_sq_avg_drift': 0.00963238999247551, 'round_steps': 264}
{'round': 34, 'accuracy': 0.9231651376146789, 'testing_loss': 0.24120312767453628, 'training_loss': 0.0879576304544268, 'variance': 0.06054246425628662, 'avg_norm_sq_drifts': 0.0673125833272934, 'norm_sq_avg_drift': 0.006770117674022913, 'round_steps': 264}
{'round': 35, 'accuracy': 0.9380733944954128, 'testing_loss': 0.19048986334883428, 'training_loss': 0.12854131947125563, 'variance': 0.08067655563354492, 'avg_norm_sq_drifts': 0.09028603881597519, 'norm_sq_avg_drift': 0.009609485976397991, 'round_steps': 264}
{'round': 36, 'accuracy': 0.9323394495412844, 'testing_loss': 0.20242406994770837, 'training_loss': 0.11493108630309123, 'variance': 0.07750918716192245, 'avg_norm_sq_drifts': 0.0866524949669838, 'norm_sq_avg_drift': 0.00914330966770649, 'round_steps': 264}
{'round': 37, 'accuracy': 0.926605504587156, 'testing_loss': 0.22429495923212567, 'training_loss': 0.11757190966803163, 'variance': 0.08196748793125153, 'avg_norm_sq_drifts': 0.09215093404054642, 'norm_sq_avg_drift': 0.01018344983458519, 'round_steps': 264}
{'round': 38, 'accuracy': 0.930045871559633, 'testing_loss': 0.21278132293629673, 'training_loss': 0.1026711373252593, 'variance': 0.06306973844766617, 'avg_norm_sq_drifts': 0.07140093296766281, 'norm_sq_avg_drift': 0.008331193588674068, 'round_steps': 264}
{'round': 39, 'accuracy': 0.9254587155963303, 'testing_loss': 0.221460958733437, 'training_loss': 0.12307802860513302, 'variance': 0.08170445263385773, 'avg_norm_sq_drifts': 0.09210417419672012, 'norm_sq_avg_drift': 0.010399717837572098, 'round_steps': 264}
{'round': 40, 'accuracy': 0.9346330275229358, 'testing_loss': 0.21294073375911718, 'training_loss': 0.09931794870292035, 'variance': 0.07386007905006409, 'avg_norm_sq_drifts': 0.08204130083322525, 'norm_sq_avg_drift': 0.008181219920516014, 'round_steps': 264}
{'round': 41, 'accuracy': 0.9392201834862385, 'testing_loss': 0.20929667718896489, 'training_loss': 0.12056617984992705, 'variance': 0.07797088474035263, 'avg_norm_sq_drifts': 0.0874374732375145, 'norm_sq_avg_drift': 0.009466590359807014, 'round_steps': 264}
Finished Testing!
