{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.624051535246419, 'training_loss': 0.6384907126426697}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6240965519465652, 'training_loss': 0.6512516498565674}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6254480948635176, 'training_loss': 0.6441994535923004}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6247284996743295, 'training_loss': 0.6393091171979904}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239555723526898, 'training_loss': 0.6365091192722321}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6244086249201906, 'training_loss': 0.6354946124553681}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6240067569648519, 'training_loss': 0.6427083891630173}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6262891345164355, 'training_loss': 0.6380566799640655}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6253034145224328, 'training_loss': 0.6395113742351531}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6240140708053813, 'training_loss': 0.6365541350841523}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6251910358083015, 'training_loss': 0.6348443776369095}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6243981000255135, 'training_loss': 0.6344704300165176}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6248088549165165, 'training_loss': 0.644540508389473}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6271272465294483, 'training_loss': 0.6420786947011947}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239562636496974, 'training_loss': 0.6348218291997909}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6268798095338485, 'training_loss': 0.6382114589214325}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239849948415569, 'training_loss': 0.6500061023235322}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6268055959075105, 'training_loss': 0.6384339320659638}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.624453192248064, 'training_loss': 0.6258791565895081}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6274284270464205, 'training_loss': 0.6255288189649582}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6266926164720573, 'training_loss': 0.6447272729873657}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6241380437916401, 'training_loss': 0.629589381814003}
